ciudad,fecha,n_cub,n_gra,n_fog,inso,n_des,n_nub,n_llu,n_tor,n_nie,evap
Barcelona,2000-1,12.0,0.0,7.0,4.0,3.0,16.0,2.0,0.0,9.0,286.0
Barcelona,2000-2,8.0,0.0,2.0,4.9,3.0,18.0,9.0,0.0,0.0,516.0
Barcelona,2000-3,6.0,0.0,1.0,6.6,6.0,19.0,6.0,0.0,2.0,811.0
Barcelona,2000-4,20.0,4.0,0.0,3.2,0.0,10.0,20.0,0.0,1.0,666.0
Barcelona,2000-5,9.0,2.0,2.0,6.8,3.0,19.0,14.0,8.0,0.0,854.0
Barcelona,2000-6,3.0,0.0,2.0,10.4,11.0,16.0,7.0,5.0,0.0,1290.0
Barcelona,2000-7,4.0,0.0,1.0,10.5,12.0,15.0,6.0,1.0,0.0,1500.0
Barcelona,2000-8,0.0,0.0,1.0,10.0,10.0,21.0,5.0,2.0,0.0,1509.0
Barcelona,2000-9,3.0,0.0,4.0,9.0,7.0,20.0,5.0,1.0,0.0,1263.0
Barcelona,2000-10,11.0,0.0,4.0,5.1,0.0,20.0,13.0,0.0,0.0,615.0
Barcelona,2000-11,14.0,1.0,4.0,2.5,0.0,16.0,19.0,0.0,2.0,418.0
Barcelona,2000-12,21.0,0.0,1.0,2.0,0.0,10.0,21.0,0.0,3.0,533.0
Barcelona,2000-13,111.0,7.0,29.0,6.3,55.0,200.0,127.0,17.0,17.0,10261.0
Barcelona,2001-1,20.0,1.0,3.0,1.4,0.0,11.0,19.0,0.0,5.0,318.0
Barcelona,2001-2,12.0,0.0,2.0,4.6,3.0,13.0,11.0,0.0,5.0,451.0
Barcelona,2001-3,20.0,1.0,0.0,4.0,0.0,11.0,25.0,1.0,0.0,743.0
Barcelona,2001-4,7.0,0.0,0.0,7.6,2.0,21.0,9.0,0.0,4.0,906.0
Barcelona,2001-5,4.0,0.0,2.0,8.8,4.0,23.0,12.0,3.0,0.0,960.0
Barcelona,2001-6,3.0,0.0,0.0,11.2,17.0,10.0,3.0,0.0,0.0,1684.0
Barcelona,2001-7,5.0,0.0,0.0,8.7,8.0,18.0,12.0,3.0,0.0,1391.0
Barcelona,2001-8,0.0,1.0,2.0,9.4,8.0,23.0,7.0,4.0,0.0,1509.0
Barcelona,2001-9,4.0,1.0,0.0,8.5,9.0,17.0,5.0,1.0,0.0,920.0
Barcelona,2001-10,9.0,0.0,1.0,4.9,3.0,19.0,15.0,0.0,0.0,647.0
Barcelona,2001-11,13.0,0.0,3.0,3.3,7.0,10.0,11.0,0.0,7.0,248.0
Barcelona,2001-12,5.0,0.0,8.0,5.1,13.0,13.0,3.0,0.0,3.0,222.0
Barcelona,2001-13,102.0,4.0,21.0,6.5,74.0,189.0,132.0,12.0,24.0,9999.0
Barcelona,2002-1,12.0,1.0,9.0,2.8,1.0,18.0,14.0,0.0,0.0,332.0
Barcelona,2002-2,11.0,0.0,2.0,3.7,3.0,14.0,13.0,1.0,1.0,517.0
Barcelona,2002-3,14.0,0.0,2.0,4.8,4.0,13.0,13.0,0.0,2.0,806.0
Barcelona,2002-4,8.0,2.0,1.0,7.2,5.0,17.0,8.0,1.0,3.0,863.0
Barcelona,2002-5,8.0,1.0,1.0,7.0,1.0,22.0,15.0,2.0,0.0,1012.0
Barcelona,2002-6,9.0,0.0,3.0,7.9,6.0,15.0,13.0,2.0,0.0,1257.0
Barcelona,2002-7,1.0,1.0,0.0,10.0,6.0,24.0,4.0,4.0,0.0,1408.0
Barcelona,2002-8,6.0,0.0,2.0,9.2,6.0,19.0,9.0,4.0,0.0,1306.0
Barcelona,2002-9,6.0,1.0,0.0,7.5,4.0,20.0,11.0,7.0,0.0,871.0
Barcelona,2002-10,14.0,0.0,3.0,4.3,0.0,17.0,17.0,0.0,0.0,567.0
Barcelona,2002-11,20.0,1.0,2.0,2.0,0.0,10.0,21.0,0.0,0.0,379.0
Barcelona,2002-12,22.0,1.0,4.0,1.4,0.0,9.0,23.0,0.0,1.0,358.0
Barcelona,2002-13,131.0,8.0,29.0,5.7,36.0,198.0,161.0,21.0,7.0,9676.0
Barcelona,2003-1,17.0,0.0,2.0,2.8,5.0,9.0,11.0,0.0,12.0,290.0
Barcelona,2003-2,14.0,1.0,3.0,3.0,3.0,11.0,11.0,0.0,3.0,331.0
Barcelona,2003-3,11.0,0.0,4.0,5.2,4.0,16.0,12.0,1.0,0.0,736.0
Barcelona,2003-4,12.0,2.0,3.0,6.5,4.0,14.0,15.0,1.0,0.0,816.0
Barcelona,2003-5,5.0,0.0,1.0,9.1,5.0,21.0,9.0,2.0,0.0,987.0
Barcelona,2003-6,5.0,0.0,3.0,9.2,6.0,19.0,7.0,5.0,0.0,1653.0
Barcelona,2003-7,2.0,0.0,2.0,10.6,14.0,15.0,5.0,4.0,0.0,1663.0
Barcelona,2003-8,4.0,0.0,2.0,8.7,5.0,22.0,11.0,6.0,0.0,1854.0
Barcelona,2003-9,8.0,0.0,2.0,7.5,8.0,14.0,9.0,1.0,0.0,1060.0
Barcelona,2003-10,14.0,0.0,1.0,3.9,1.0,16.0,22.0,1.0,0.0,466.0
Barcelona,2003-11,14.0,0.0,6.0,2.9,4.0,12.0,18.0,0.0,0.0,302.0
Barcelona,2003-12,19.0,1.0,8.0,2.1,0.0,12.0,10.0,0.0,6.0,198.0
Barcelona,2003-13,125.0,4.0,37.0,6.0,59.0,181.0,140.0,21.0,21.0,10356.0
Barcelona,2004-1,23.0,1.0,7.0,1.6,0.0,8.0,17.0,0.0,2.0,256.0
Barcelona,2004-2,9.0,0.0,6.0,4.9,6.0,14.0,2.0,0.0,10.0,283.0
Barcelona,2004-3,12.0,0.0,2.0,4.7,4.0,15.0,10.0,0.0,7.0,548.0
Barcelona,2004-4,9.0,1.0,1.0,6.5,2.0,19.0,11.0,0.0,3.0,681.0
Barcelona,2004-5,10.0,1.0,2.0,7.2,4.0,17.0,17.0,5.0,0.0,808.0
Barcelona,2004-6,3.0,0.0,0.0,10.2,6.0,21.0,6.0,2.0,0.0,1205.0
Barcelona,2004-7,2.0,0.0,0.0,10.2,11.0,18.0,6.0,0.0,0.0,1575.0
Barcelona,2004-8,3.0,0.0,1.0,8.9,6.0,22.0,12.0,4.0,0.0,1468.0
Barcelona,2004-9,1.0,1.0,3.0,7.8,8.0,21.0,8.0,5.0,0.0,906.0
Barcelona,2004-10,11.0,0.0,4.0,4.4,1.0,19.0,21.0,0.0,0.0,807.0
Barcelona,2004-11,13.0,0.0,6.0,3.6,0.0,17.0,12.0,0.0,1.0,259.0
Barcelona,2004-12,17.0,0.0,12.0,1.9,0.0,14.0,11.0,0.0,6.0,155.0
Barcelona,2004-13,113.0,4.0,44.0,6.0,48.0,205.0,133.0,16.0,29.0,8951.0
Barcelona,2005-1,10.0,0.0,11.0,3.8,2.0,19.0,3.0,0.0,9.0,175.0
Barcelona,2005-2,6.0,0.0,3.0,4.7,1.0,21.0,7.0,0.0,10.0,197.0
Barcelona,2005-3,6.0,0.0,0.0,7.0,5.0,20.0,7.0,3.0,4.0,559.0
Barcelona,2005-4,12.0,1.0,1.0,6.0,1.0,17.0,17.0,2.0,2.0,760.0
Barcelona,2005-5,5.0,0.0,0.0,8.4,5.0,21.0,8.0,4.0,0.0,1083.0
Barcelona,2005-6,2.0,0.0,1.0,10.8,8.0,20.0,8.0,6.0,0.0,1489.0
Barcelona,2005-7,1.0,0.0,1.0,12.2,15.0,15.0,1.0,0.0,0.0,1782.0
Barcelona,2005-8,2.0,0.0,1.0,10.3,11.0,18.0,7.0,3.0,0.0,1447.0
Barcelona,2005-9,1.0,0.0,3.0,8.5,6.0,23.0,6.0,0.0,0.0,1139.0
Barcelona,2005-10,8.0,0.0,1.0,5.6,5.0,18.0,17.0,0.0,0.0,693.0
Barcelona,2005-11,18.0,1.0,6.0,2.7,0.0,12.0,10.0,0.0,5.0,300.0
Barcelona,2005-12,12.0,0.0,3.0,3.4,8.0,11.0,16.0,0.0,3.0,395.0
Barcelona,2005-13,83.0,2.0,31.0,7.0,67.0,215.0,107.0,18.0,33.0,10019.0
Barcelona,2006-1,18.0,0.0,12.0,2.7,2.0,11.0,10.0,0.0,5.0,157.0
Barcelona,2006-2,9.0,0.0,3.0,5.0,4.0,15.0,4.0,0.0,7.0,447.0
Barcelona,2006-3,15.0,1.0,1.0,4.3,2.0,14.0,14.0,0.0,2.0,662.0
Barcelona,2006-4,9.0,1.0,2.0,7.2,5.0,16.0,12.0,2.0,0.0,713.0
Barcelona,2006-5,5.0,0.0,5.0,9.4,5.0,21.0,5.0,1.0,0.0,1158.0
Barcelona,2006-6,3.0,0.0,2.0,9.5,3.0,24.0,9.0,7.0,0.0,1277.0
Barcelona,2006-7,1.0,0.0,0.0,9.9,4.0,26.0,7.0,5.0,0.0,1540.0
Barcelona,2006-8,1.0,0.0,0.0,10.6,10.0,20.0,5.0,1.0,0.0,1264.0
Barcelona,2006-9,10.0,0.0,3.0,6.2,6.0,14.0,14.0,2.0,0.0,1092.0
Barcelona,2006-10,6.0,1.0,2.0,5.0,4.0,21.0,17.0,2.0,0.0,581.0
Barcelona,2006-11,14.0,0.0,6.0,3.4,1.0,15.0,16.0,0.0,0.0,464.0
Barcelona,2006-12,10.0,0.0,3.0,3.5,5.0,16.0,11.0,0.0,5.0,
Barcelona,2006-13,101.0,3.0,39.0,6.4,51.0,213.0,124.0,20.0,19.0,
Barcelona,2007-1,15.0,0.0,7.0,2.4,3.0,13.0,9.0,0.0,4.0,133.0
Barcelona,2007-2,14.0,1.0,2.0,3.4,0.0,14.0,23.0,0.0,0.0,461.0
Barcelona,2007-3,11.0,0.0,0.0,5.0,2.0,18.0,6.0,0.0,7.0,513.0
Barcelona,2007-4,10.0,0.0,5.0,6.0,1.0,19.0,12.0,4.0,2.0,584.0
Barcelona,2007-5,10.0,2.0,3.0,7.0,2.0,19.0,14.0,4.0,1.0,812.0
Barcelona,2007-6,3.0,0.0,1.0,9.7,4.0,23.0,9.0,3.0,0.0,1012.0
Barcelona,2007-7,0.0,0.0,0.0,11.0,13.0,18.0,5.0,0.0,0.0,1601.0
Barcelona,2007-8,3.0,1.0,0.0,9.2,4.0,24.0,10.0,4.0,0.0,1308.0
Barcelona,2007-9,5.0,0.0,0.0,7.7,10.0,15.0,8.0,3.0,0.0,893.0
Barcelona,2007-10,11.0,0.0,7.0,5.7,6.0,14.0,8.0,0.0,0.0,510.0
Barcelona,2007-11,11.0,0.0,3.0,4.6,8.0,11.0,10.0,0.0,0.0,364.0
Barcelona,2007-12,12.0,0.0,10.0,3.6,6.0,13.0,11.0,0.0,0.0,263.0
Barcelona,2007-13,105.0,4.0,38.0,6.3,59.0,201.0,125.0,18.0,14.0,8454.0
Barcelona,2008-1,12.0,0.0,6.0,3.3,3.0,16.0,15.0,0.0,1.0,418.0
Barcelona,2008-2,10.0,0.0,12.0,4.5,7.0,12.0,9.0,0.0,0.0,385.0
Barcelona,2008-3,8.0,1.0,2.0,5.6,1.0,22.0,6.0,1.0,7.0,630.0
Barcelona,2008-4,11.0,2.0,0.0,6.9,3.0,16.0,16.0,4.0,0.0,681.0
Barcelona,2008-5,14.0,1.0,4.0,5.5,0.0,17.0,22.0,7.0,0.0,575.0
Barcelona,2008-6,5.0,0.0,0.0,8.9,6.0,19.0,12.0,4.0,0.0,832.0
Barcelona,2008-7,2.0,0.0,2.0,11.0,9.0,20.0,3.0,1.0,0.0,1469.0
Barcelona,2008-8,1.0,0.0,0.0,10.8,10.0,20.0,8.0,2.0,0.0,1406.0
Barcelona,2008-9,4.0,0.0,2.0,7.8,5.0,21.0,9.0,1.0,0.0,838.0
Barcelona,2008-10,7.0,0.0,5.0,5.4,4.0,20.0,9.0,1.0,1.0,527.0
Barcelona,2008-11,20.0,0.0,2.0,1.8,0.0,10.0,17.0,0.0,4.0,255.0
Barcelona,2008-12,16.0,0.0,3.0,2.9,3.0,12.0,14.0,0.0,9.0,235.0
Barcelona,2008-13,110.0,4.0,38.0,6.2,51.0,205.0,140.0,21.0,22.0,8251.0
Barcelona,2009-1,20.0,1.0,6.0,2.1,1.0,10.0,11.0,0.0,9.0,314.0
Barcelona,2009-2,10.0,0.0,3.0,5.0,4.0,14.0,3.0,0.0,7.0,517.0
Barcelona,2009-3,6.0,0.0,2.0,7.6,12.0,13.0,4.0,1.0,7.0,1093.0
Barcelona,2009-4,5.0,3.0,0.0,6.9,0.0,25.0,11.0,0.0,0.0,1024.0
Barcelona,2009-5,3.0,0.0,3.0,9.8,5.0,23.0,12.0,5.0,0.0,1476.0
Barcelona,2009-6,7.0,0.0,2.0,8.8,5.0,18.0,12.0,3.0,0.0,1619.0
Barcelona,2009-7,0.0,0.0,1.0,12.0,12.0,19.0,2.0,1.0,0.0,2457.0
Barcelona,2009-8,2.0,0.0,1.0,10.4,8.0,21.0,7.0,2.0,0.0,2016.0
Barcelona,2009-9,4.0,0.0,4.0,7.7,5.0,21.0,7.0,0.0,0.0,1363.0
Barcelona,2009-10,9.0,0.0,2.0,6.0,5.0,17.0,8.0,0.0,0.0,1096.0
Barcelona,2009-11,13.0,0.0,3.0,3.0,1.0,16.0,17.0,0.0,3.0,770.0
Barcelona,2009-12,16.0,0.0,2.0,1.8,1.0,14.0,13.0,0.0,11.0,301.0
Barcelona,2009-13,95.0,4.0,29.0,6.8,59.0,211.0,107.0,12.0,37.0,14046.0
Barcelona,2010-1,19.0,0.0,4.0,1.8,0.0,12.0,17.0,0.0,9.0,218.0
Barcelona,2010-2,19.0,2.0,1.0,2.4,1.0,8.0,12.0,0.0,11.0,401.0
Barcelona,2010-3,16.0,0.0,1.0,4.2,2.0,13.0,13.0,0.0,9.0,790.0
Barcelona,2010-4,9.0,1.0,3.0,7.2,4.0,17.0,11.0,2.0,0.0,955.0
Barcelona,2010-5,9.0,0.0,0.0,7.9,7.0,15.0,11.0,1.0,3.0,1052.0
