ciudad,fecha,n_cub,n_gra,n_fog,inso,n_des,n_nub,n_llu,n_tor,n_nie,evap
Barcelona,2010-6,10.0,0.0,1.0,8.2,7.0,13.0,11.0,4.0,0.0,1229.0
Barcelona,2010-7,3.0,0.0,2.0,11.7,11.0,17.0,4.0,4.0,0.0,2045.0
Barcelona,2010-8,1.0,0.0,1.0,10.7,6.0,24.0,2.0,2.0,0.0,2205.0
Barcelona,2010-9,5.0,0.0,0.0,7.4,4.0,21.0,8.0,3.0,0.0,1317.0
Barcelona,2010-10,9.0,0.0,1.0,5.7,1.0,21.0,13.0,1.0,0.0,1072.0
Barcelona,2010-11,11.0,0.0,4.0,3.3,0.0,19.0,13.0,0.0,4.0,459.0
Barcelona,2010-12,11.0,0.0,3.0,2.9,0.0,20.0,8.0,2.0,7.0,332.0
Barcelona,2010-13,122.0,3.0,21.0,6.1,43.0,200.0,123.0,19.0,43.0,12075.0
Barcelona,2011-1,20.0,0.0,9.0,2.0,0.0,11.0,10.0,0.0,6.0,210.0
Barcelona,2011-2,7.0,0.0,2.0,4.2,0.0,21.0,9.0,0.0,5.0,462.0
Barcelona,2011-3,11.0,0.0,4.0,4.4,4.0,16.0,16.0,0.0,3.0,624.0
Barcelona,2011-4,9.0,0.0,3.0,7.8,9.0,12.0,12.0,2.0,0.0,966.0
Barcelona,2011-5,5.0,1.0,4.0,8.5,2.0,24.0,11.0,7.0,0.0,1019.0
Barcelona,2011-6,8.0,0.0,2.0,9.2,7.0,15.0,8.0,1.0,0.0,1434.0
Barcelona,2011-7,2.0,0.0,0.0,10.9,7.0,22.0,10.0,3.0,0.0,1728.0
Barcelona,2011-8,2.0,0.0,1.0,10.0,11.0,18.0,7.0,6.0,0.0,2036.0
Barcelona,2011-9,2.0,0.0,0.0,9.0,10.0,18.0,1.0,0.0,0.0,1476.0
Barcelona,2011-10,5.0,0.0,3.0,7.6,15.0,11.0,8.0,0.0,0.0,1262.0
Barcelona,2011-11,11.0,0.0,5.0,3.5,1.0,18.0,17.0,1.0,0.0,597.0
Barcelona,2011-12,11.0,0.0,2.0,3.2,2.0,18.0,11.0,0.0,3.0,352.0
Barcelona,2011-13,93.0,1.0,35.0,6.7,68.0,204.0,120.0,20.0,17.0,12166.0
Barcelona,2012-1,11.0,0.0,11.0,3.5,3.0,17.0,3.0,0.0,6.0,320.0
Barcelona,2012-2,10.0,0.0,0.0,5.0,5.0,14.0,2.0,0.0,13.0,422.0
Barcelona,2012-3,6.0,0.0,0.0,7.7,6.0,19.0,5.0,1.0,3.0,1037.0
Barcelona,2012-4,21.0,1.0,1.0,3.6,1.0,8.0,20.0,4.0,4.0,711.0
Barcelona,2012-5,3.0,0.0,2.0,9.2,3.0,25.0,12.0,3.0,0.0,1249.0
Barcelona,2012-6,5.0,0.0,3.0,9.8,6.0,19.0,10.0,2.0,0.0,1975.0
Barcelona,2012-7,0.0,0.0,2.0,11.6,9.0,22.0,3.0,3.0,0.0,2175.0
Barcelona,2012-8,2.0,0.0,1.0,10.4,11.0,18.0,3.0,0.0,0.0,2532.0
Barcelona,2012-9,5.0,0.0,1.0,7.3,4.0,21.0,8.0,0.0,0.0,1596.0
Barcelona,2012-10,8.0,1.0,3.0,5.2,4.0,19.0,19.0,3.0,1.0,775.0
Barcelona,2012-11,10.0,1.0,3.0,3.0,1.0,19.0,12.0,0.0,3.0,418.0
Barcelona,2012-12,18.0,0.0,5.0,2.0,0.0,13.0,16.0,0.0,2.0,372.0
Barcelona,2012-13,99.0,3.0,32.0,6.5,53.0,214.0,113.0,16.0,32.0,13582.0
Barcelona,2013-1,18.0,0.0,4.0,2.8,3.0,10.0,15.0,0.0,4.0,327.0
Barcelona,2013-2,12.0,0.0,3.0,2.8,0.0,16.0,7.0,0.0,13.0,236.0
Barcelona,2013-3,15.0,0.0,2.0,3.5,0.0,16.0,21.0,2.0,3.0,600.0
Barcelona,2013-4,12.0,0.0,1.0,6.0,3.0,15.0,11.0,0.0,5.0,890.0
Barcelona,2013-5,13.0,1.0,0.0,6.4,4.0,14.0,17.0,2.0,0.0,792.0
Barcelona,2013-6,5.0,0.0,3.0,8.6,7.0,18.0,10.0,2.0,0.0,1026.0
Barcelona,2013-7,0.0,2.0,3.0,11.0,10.0,21.0,7.0,6.0,0.0,1858.0
Barcelona,2013-8,0.0,0.0,0.0,11.2,12.0,19.0,3.0,1.0,0.0,1889.0
Barcelona,2013-9,5.0,0.0,1.0,8.8,5.0,20.0,8.0,2.0,0.0,1281.0
Barcelona,2013-10,11.0,0.0,1.0,5.2,1.0,19.0,14.0,2.0,0.0,770.0
Barcelona,2013-11,17.0,0.0,0.0,2.1,1.0,12.0,17.0,0.0,4.0,443.0
Barcelona,2013-12,10.0,0.0,3.0,3.1,5.0,16.0,11.0,0.0,2.0,323.0
Barcelona,2013-13,118.0,3.0,21.0,6.0,51.0,196.0,141.0,17.0,31.0,10435.0
Barcelona,2014-1,16.0,0.0,3.0,1.8,0.0,15.0,18.0,1.0,6.0,378.0
Barcelona,2014-2,12.0,0.0,4.0,3.1,0.0,16.0,14.0,2.0,8.0,484.0
Barcelona,2014-3,9.0,0.0,2.0,6.6,11.0,11.0,10.0,0.0,3.0,917.0
Barcelona,2014-4,9.0,0.0,3.0,6.7,0.0,21.0,15.0,3.0,0.0,951.0
Barcelona,2014-5,6.0,0.0,0.0,8.7,3.0,22.0,9.0,1.0,0.0,1266.0
Barcelona,2014-6,1.0,1.0,2.0,10.3,3.0,26.0,7.0,3.0,0.0,1628.0
Barcelona,2014-7,6.0,0.0,0.0,9.6,10.0,15.0,7.0,2.0,0.0,1711.0
Barcelona,2014-8,2.0,0.0,2.0,10.3,6.0,23.0,4.0,1.0,0.0,1736.0
Barcelona,2014-9,3.0,0.0,3.0,8.0,5.0,22.0,11.0,2.0,0.0,1380.0
Barcelona,2014-10,7.0,0.0,5.0,6.5,5.0,19.0,11.0,1.0,0.0,946.0
Barcelona,2014-11,16.0,0.0,4.0,1.9,0.0,14.0,22.0,1.0,0.0,424.0
Barcelona,2014-12,10.0,0.0,8.0,2.4,4.0,17.0,13.0,0.0,6.0,185.0
Barcelona,2014-13,97.0,1.0,36.0,6.3,47.0,221.0,141.0,17.0,23.0,12006.0
Barcelona,2015-1,9.0,0.0,7.0,3.5,5.0,17.0,6.0,1.0,7.0,324.0
Barcelona,2015-2,18.0,0.0,0.0,2.4,1.0,9.0,10.0,1.0,12.0,278.0
Barcelona,2015-3,12.0,0.0,1.0,5.5,3.0,16.0,5.0,0.0,8.0,748.0
Barcelona,2015-4,9.0,0.0,2.0,6.7,3.0,18.0,13.0,0.0,0.0,949.0
Barcelona,2015-5,6.0,0.0,0.0,8.4,2.0,23.0,8.0,1.0,0.0,1551.0
Barcelona,2015-6,5.0,1.0,2.0,10.0,10.0,15.0,9.0,7.0,0.0,1480.0
Barcelona,2015-7,1.0,0.0,0.0,11.5,11.0,19.0,7.0,1.0,0.0,2379.0
Barcelona,2015-8,2.0,0.0,2.0,9.9,8.0,21.0,8.0,1.0,0.0,2203.0
Barcelona,2015-9,4.0,0.0,5.0,7.4,5.0,21.0,9.0,1.0,0.0,1233.0
Barcelona,2015-10,10.0,0.0,1.0,5.1,2.0,19.0,16.0,0.0,0.0,701.0
Barcelona,2015-11,13.0,0.0,9.0,3.6,4.0,13.0,10.0,0.0,2.0,348.0
Barcelona,2015-12,6.0,0.0,8.0,3.4,2.0,23.0,7.0,0.0,0.0,620.0
Barcelona,2015-13,95.0,1.0,37.0,6.5,56.0,214.0,108.0,13.0,29.0,12814.0
Barcelona,2016-1,17.0,0.0,4.0,2.1,1.0,13.0,20.0,0.0,2.0,342.0
Barcelona,2016-2,14.0,1.0,1.0,3.7,3.0,12.0,9.0,0.0,6.0,438.0
Barcelona,2016-3,10.0,0.0,2.0,4.0,0.0,21.0,8.0,1.0,10.0,591.0
Barcelona,2016-4,13.0,1.0,2.0,5.3,2.0,15.0,18.0,2.0,1.0,673.0
Barcelona,2016-5,8.0,0.0,3.0,7.9,3.0,20.0,17.0,1.0,0.0,1057.0
Barcelona,2016-6,8.0,1.0,4.0,10.2,7.0,15.0,5.0,1.0,0.0,1572.0
Barcelona,2016-7,0.0,0.0,0.0,11.8,10.0,21.0,3.0,2.0,0.0,1951.0
Barcelona,2016-8,1.0,0.0,0.0,11.1,14.0,16.0,6.0,4.0,0.0,2054.0
Barcelona,2016-9,3.0,0.0,3.0,7.9,6.0,21.0,9.0,1.0,0.0,1487.0
Barcelona,2016-10,5.0,0.0,5.0,6.7,7.0,19.0,8.0,0.0,0.0,933.0
Barcelona,2016-11,11.0,0.0,12.0,3.8,1.0,18.0,12.0,0.0,2.0,421.0
Barcelona,2016-12,12.0,0.0,15.0,4.7,2.0,17.0,8.0,0.0,0.0,193.0
Barcelona,2016-13,102.0,3.0,51.0,6.6,56.0,208.0,123.0,12.0,21.0,11712.0
Barcelona,2017-1,7.0,0.0,2.0,4.6,6.0,18.0,7.0,0.0,2.0,443.0
Barcelona,2017-2,11.0,0.0,4.0,4.7,1.0,16.0,10.0,1.0,3.0,543.0
Barcelona,2017-3,11.0,0.0,2.0,6.1,7.0,13.0,9.0,0.0,3.0,910.0
Barcelona,2017-4,3.0,0.0,0.0,10.2,12.0,15.0,5.0,0.0,1.0,1331.0
Barcelona,2017-5,9.0,0.0,2.0,7.9,3.0,19.0,16.0,9.0,0.0,1294.0
Barcelona,2017-6,3.0,0.0,2.0,9.2,5.0,22.0,15.0,8.0,0.0,1544.0
Barcelona,2017-7,1.0,0.0,1.0,11.1,11.0,19.0,4.0,1.0,0.0,2272.0
Barcelona,2017-8,2.0,0.0,4.0,10.3,10.0,19.0,6.0,2.0,0.0,2174.0
Barcelona,2017-9,1.0,0.0,4.0,9.1,5.0,24.0,8.0,0.0,0.0,1354.0
Barcelona,2017-10,3.0,0.0,3.0,8.1,15.0,13.0,8.0,0.0,0.0,1281.0
Barcelona,2017-11,4.0,0.0,1.0,5.7,0.0,26.0,16.0,0.0,0.0,684.0
Barcelona,2017-12,13.0,0.0,5.0,3.2,3.0,15.0,14.0,1.0,5.0,364.0
Barcelona,2017-13,68.0,0.0,30.0,7.5,78.0,219.0,118.0,22.0,14.0,14194.0
Barcelona,2018-1,17.0,0.0,9.0,2.8,5.0,9.0,7.0,0.0,7.0,324.0
Barcelona,2018-2,13.0,0.0,0.0,3.4,4.0,11.0,7.0,0.0,14.0,317.0
Barcelona,2018-3,17.0,1.0,1.0,3.6,0.0,14.0,21.0,0.0,5.0,752.0
Barcelona,2018-4,14.0,2.0,4.0,5.7,2.0,14.0,14.0,4.0,3.0,867.0
Barcelona,2018-5,6.0,0.0,3.0,7.5,3.0,22.0,14.0,5.0,0.0,1025.0
Barcelona,2018-6,6.0,0.0,0.0,8.4,5.0,19.0,17.0,6.0,0.0,1136.0
Barcelona,2018-7,0.0,0.0,3.0,10.5,7.0,24.0,11.0,6.0,0.0,1572.0
Barcelona,2018-8,1.0,0.0,2.0,11.6,13.0,17.0,2.0,2.0,0.0,1979.0
Barcelona,2018-9,1.0,0.0,5.0,10.2,8.0,21.0,7.0,3.0,0.0,1396.0
Barcelona,2018-10,8.0,0.0,5.0,5.6,7.0,16.0,11.0,1.0,2.0,949.0
Barcelona,2018-11,12.0,0.0,5.0,3.0,2.0,16.0,24.0,0.0,0.0,476.0
Barcelona,2018-12,14.0,0.0,8.0,3.1,2.0,15.0,12.0,0.0,0.0,356.0
Barcelona,2018-13,109.0,3.0,45.0,6.3,58.0,198.0,147.0,27.0,31.0,11149.0
Barcelona,2019-1,10.0,0.0,2.0,3.8,4.0,17.0,8.0,0.0,7.0,472.0
Barcelona,2019-2,6.0,0.0,2.0,7.8,12.0,10.0,1.0,0.0,3.0,701.0
Barcelona,2019-3,4.0,0.0,1.0,8.1,12.0,15.0,11.0,0.0,1.0,1220.0
Barcelona,2019-4,12.0,1.0,2.0,5.8,3.0,15.0,13.0,4.0,3.0,819.0
Barcelona,2019-5,6.0,0.0,0.0,8.7,7.0,18.0,16.0,0.0,0.0,1280.0
Barcelona,2019-6,5.0,1.0,0.0,9.7,5.0,20.0,7.0,2.0,0.0,2207.0
Barcelona,2019-7,6.0,2.0,1.0,10.0,9.0,16.0,12.0,7.0,0.0,1893.0
Barcelona,2019-8,2.0,0.0,3.0,9.8,8.0,21.0,8.0,2.0,0.0,1936.0
Barcelona,2019-9,6.0,0.0,2.0,7.8,7.0,17.0,14.0,4.0,0.0,1292.0
Barcelona,2019-10,8.0,0.0,1.0,5.7,3.0,20.0,12.0,1.0,0.0,1056.0
Barcelona,2019-11,17.0,0.0,2.0,1.9,0.0,13.0,22.0,1.0,3.0,487.0
Barcelona,2019-12,14.0,0.0,6.0,3.5,3.0,14.0,17.0,0.0,0.0,526.0
Barcelona,2019-13,96.0,4.0,22.0,6.9,73.0,196.0,141.0,21.0,17.0,13889.0
Barcelona,2020-1,14.0,0.0,13.0,3.3,1.0,16.0,15.0,0.0,1.0,357.0
Barcelona,2020-2,11.0,0.0,7.0,5.5,3.0,15.0,8.0,0.0,0.0,652.0
Barcelona,2020-3,8.0,0.0,4.0,6.0,3.0,20.0,8.0,1.0,5.0,697.0
Barcelona,2020-4,,0.0,2.0,3.7,,,25.0,9.0,0.0,
Barcelona,2020-5,,0.0,1.0,8.6,,,5.0,5.0,0.0,
Barcelona,2020-6,,1.0,1.0,7.6,,,10.0,9.0,0.0,
Barcelona,2020-7,1.0,0.0,2.0,11.5,10.0,20.0,6.0,5.0,0.0,2096.0
Barcelona,2020-8,2.0,1.0,1.0,9.3,5.0,24.0,6.0,5.0,0.0,2027.0
Barcelona,2020-9,5.0,0.0,2.0,8.4,9.0,16.0,9.0,2.0,0.0,1477.0
Barcelona,2020-10,8.0,0.0,1.0,4.7,3.0,20.0,19.0,0.0,0.0,837.0
Barcelona,2020-11,8.0,0.0,5.0,4.8,3.0,19.0,10.0,0.0,0.0,512.0
Barcelona,2020-12,12.0,0.0,0.0,2.1,0.0,19.0,17.0,0.0,8.0,431.0
Barcelona,2020-13,,2.0,39.0,6.3,,,138.0,36.0,14.0,
